,Log_Pop,White,Black,Asian,WomenRatio,Poverty,Unemployment,Professional,Construction,PublicWork,SelfEmployed,RepRatio,RepWon
0,15.748087998756109,75.4,18.9,0.9,0.5112471836616033,13.7,5.2,35.3,8.1,20.2,5.6,0.7164060525080351,1
1,17.63367640989232,83.1,9.5,0.7,0.5105871361132966,11.8,5.5,35.7,9.7,12.9,6.3,0.7639985002423388,1
2,14.677334254957566,45.7,47.8,0.6,0.4665852448379833,27.2,12.4,25.0,11.5,19.1,6.5,0.5351227869788692,1
3,14.462757865660365,74.6,22.0,0.0,0.4574402125775022,15.2,8.2,24.4,15.9,17.4,6.3,0.7850808555033907,1
4,15.815458350831246,87.4,1.5,0.1,0.5059566129675551,15.6,4.9,28.5,15.8,11.9,4.0,0.8966255442670537,1
5,13.35507574666906,21.6,75.6,0.7,0.4640198511166253,28.5,12.1,19.7,14.0,13.6,5.0,0.2485361093038386,0
6,14.296772847705832,52.2,44.7,1.1,0.5321474709331213,24.4,7.6,26.9,11.6,15.3,5.3,0.5756169584475849,1
7,16.817870540051242,72.7,20.4,1.0,0.5187878158352592,18.6,10.1,29.0,10.4,19.9,5.1,0.690013760566149,1
8,15.048784850338093,56.2,39.3,1.0,0.5185130550228647,18.8,6.4,24.3,11.6,11.8,3.7,0.5736286781571531,1
9,14.658155684370753,91.8,5.0,0.1,0.502533359118159,16.1,5.3,28.8,11.9,17.1,8.1,0.8611766620554968,1
10,15.418807931191145,80.4,9.5,0.4,0.5079557128181714,19.4,6.7,25.3,15.5,14.0,4.5,0.8342409626056739,1
11,13.686938171670388,56.3,42.1,0.1,0.5240370033363664,22.3,9.8,23.6,17.1,14.8,4.9,0.5757941294732609,1
12,14.587836104118464,53.0,45.7,0.5,0.5269441624365482,25.3,15.2,21.6,13.7,11.8,5.1,0.5578915295551493,1
13,13.710698830116169,80.2,14.7,0.0,0.5173416871783397,19.1,6.4,22.2,12.9,14.5,7.7,0.8092761161681837,1
14,13.866795958511538,92.7,2.8,0.5,0.5068612356918134,19.1,7.8,25.7,18.0,15.7,8.2,0.8981853442305029,1
15,15.64027318420396,71.0,17.1,1.3,0.5060991130342842,16.1,6.0,31.6,13.1,20.7,5.6,0.7598812896263322,1
16,15.732246937087853,78.8,15.9,0.5,0.5197391384219712,16.8,6.9,27.1,11.2,16.1,5.5,0.6903084333884535,1
17,13.626735712922205,50.3,46.3,0.0,0.522491896592616,26.4,14.5,15.9,12.8,12.3,7.2,0.534472049689441,1
18,13.419301863877584,65.3,33.2,0.0,0.5003194888178913,14.4,11.3,17.6,14.5,15.9,5.4,0.6634386990681528,1
19,15.195333755529951,83.5,13.0,0.4,0.5166982062421707,17.6,10.7,29.2,15.8,13.2,6.7,0.8380831992645369,1
20,13.759264045188788,71.2,23.1,1.4,0.5106014712245781,17.6,6.4,26.4,13.2,19.1,7.8,0.7360774818401937,1
21,16.31810143228591,92.3,1.1,0.6,0.5076924959915793,16.4,5.8,29.3,14.0,11.9,6.3,0.8828035235541938,1
22,15.592018976402713,69.5,19.2,0.9,0.5034923977081772,19.6,10.4,28.2,13.7,20.7,5.6,0.725819547345986,1
23,15.314689445830494,27.7,70.2,0.4,0.5384860753281806,31.9,13.7,26.7,8.8,15.2,5.6,0.30957184487783,0
24,16.119468040193482,80.8,1.4,0.3,0.5037784082928337,21.5,5.1,23.7,12.4,12.1,9.7,0.8453478053109428,1
25,16.30543835269343,73.4,21.2,0.6,0.5140451172381435,13.5,7.3,34.8,11.0,21.4,5.6,0.7369835568912019,1
26,15.199250577051352,60.2,32.2,0.4,0.4862975465830254,23.8,13.7,24.6,11.3,19.7,4.6,0.6844027454190542,1
27,16.65413251886244,78.3,15.4,0.7,0.5177248574642206,17.9,7.6,29.7,9.4,13.9,5.5,0.7459790870532902,1
28,14.023840967836763,85.0,11.5,0.5,0.5082547877769106,18.1,8.4,29.0,10.8,15.4,4.8,0.8341903782424865,1
29,14.943384771443156,77.7,4.7,0.4,0.4979528358777415,23.0,8.2,24.4,11.9,15.6,6.0,0.8255887969446213,1
30,14.697619199078714,84.0,9.2,0.4,0.5104621405991269,22.5,8.9,22.9,19.1,16.5,9.4,0.8655549349716748,1
31,13.058837332677816,17.1,80.3,0.0,0.52443454822454,38.8,14.8,22.3,9.2,22.0,4.6,0.1835535976505139,0
32,13.872193901756102,39.5,58.7,0.2,0.5299099699899966,26.1,11.7,27.6,11.0,12.6,5.2,0.4044602128737962,0
33,14.062552139376775,68.7,27.8,0.0,0.520280537697253,13.7,6.7,32.8,11.0,14.7,4.8,0.7118078000430942,1
34,16.667721408750126,67.2,26.5,0.8,0.5206420255888116,18.5,7.6,31.1,10.2,12.1,5.8,0.7080402882695146,1
35,15.67524035757855,89.3,3.2,0.5,0.5086190421587738,19.0,7.7,26.1,11.3,15.5,7.0,0.8336511972875609,1
36,19.33092562890718,50.4,42.4,1.5,0.5263806750978073,17.6,7.7,38.8,7.3,13.5,4.5,0.4283836610523003,0
37,13.775301627870313,86.0,10.8,0.0,0.509664075315598,23.1,7.9,28.8,13.4,18.5,3.8,0.8592901878914405,1
38,16.498568766021375,84.9,9.8,0.7,0.5219462144940058,16.3,6.6,31.2,10.6,15.6,6.6,0.718108346727639,1
39,15.02271457304476,76.6,11.4,0.1,0.5144196106705119,16.6,7.2,23.6,15.0,14.2,4.8,0.7696439725171768,1
40,17.256697048965,67.6,22.9,3.8,0.5071936243989349,22.0,5.7,41.0,7.1,18.3,4.4,0.5938255977496484,1
41,16.484555447373364,77.2,13.1,1.2,0.4995474126179181,14.8,7.1,36.1,11.3,16.3,6.2,0.7060741948634325,1
42,13.33901486825008,24.3,74.4,0.0,0.527504342790967,30.2,11.2,23.0,11.5,16.4,3.4,0.2686567164179104,0
43,14.24064228571925,15.5,81.5,0.2,0.5385370389503048,25.9,14.5,29.4,7.6,17.3,4.8,0.177106079760947,0
44,18.430178916773094,65.1,24.0,2.5,0.5114336108806867,13.6,6.5,46.3,6.4,19.0,4.5,0.530436353314582,1
45,14.269053607250251,45.1,54.1,0.0,0.5322392746796333,25.6,12.8,29.6,11.4,17.1,4.5,0.490633608815427,0
46,14.875461397916377,91.9,3.2,0.3,0.504957082972919,17.6,5.5,25.6,11.6,15.8,6.2,0.8855111369077849,1
47,16.53165559526717,81.8,2.2,0.6,0.5063121450737824,21.0,6.5,28.3,13.1,13.5,7.2,0.8388132123632136,1
48,18.66041379438262,57.5,35.2,1.9,0.5221949759610743,19.3,7.5,32.3,9.9,13.1,4.6,0.554285401439873,1
49,14.40839608835143,54.5,40.8,0.5,0.5237985743849161,33.7,21.6,28.7,14.2,18.9,5.2,0.5769122477709995,1
50,17.793095228611755,35.2,57.1,2.4,0.526814019020782,20.8,7.6,36.8,5.6,21.8,4.4,0.3372821805736966,0
51,16.86250418105225,76.4,12.3,0.7,0.5068606963921549,16.6,6.5,30.3,10.9,12.8,5.0,0.7399585844075891,1
52,13.240791332161956,29.4,69.6,0.2,0.5216942148760331,41.9,11.8,23.4,5.1,19.3,3.8,0.2563660731380432,0
53,14.299923463500324,54.1,40.5,0.1,0.5239960337134358,22.9,12.2,22.6,12.7,18.1,4.6,0.5793289146644574,1
54,15.022671232600418,56.4,37.9,2.2,0.5224261723796076,26.3,8.7,31.5,8.9,18.2,5.6,0.5822473211699971,1
55,14.45955969312279,75.3,19.4,0.2,0.5118508655126498,18.7,5.8,23.4,12.8,12.1,8.3,0.7908158551233484,1
56,15.8356556908398,47.8,42.4,0.7,0.513953488372093,20.9,9.7,28.7,9.4,20.0,3.8,0.4633161108501644,0
57,16.407682691868946,86.2,9.3,0.8,0.4999942487088351,13.7,5.8,28.9,12.4,11.1,5.5,0.8153575615474795,1
58,17.67121623579558,78.5,11.7,1.9,0.5140881847058992,8.3,4.3,44.3,7.4,12.7,4.9,0.6964956742113082,1
59,13.675516044082778,24.6,70.7,3.0,0.5389024763069398,36.0,13.4,25.5,4.9,23.6,3.0,0.2543371001114117,0
60,16.303638069539705,63.1,32.1,0.6,0.5161210562753437,19.3,10.0,28.6,10.4,15.9,4.9,0.6242279618192027,1
61,15.314724844612032,68.9,27.2,0.4,0.518696633624497,21.2,9.2,28.3,11.7,13.8,4.7,0.7141561664757541,1
62,17.641205057446104,62.4,31.2,1.5,0.5170576840292725,17.3,6.7,35.8,8.7,18.5,4.0,0.5691745816120879,1
63,15.986530929664388,89.4,6.0,0.5,0.5116207432963173,21.5,10.0,26.3,14.3,14.3,5.7,0.8357278308102722,1
64,14.031528909787223,65.1,24.6,0.9,0.501851188343485,22.0,11.0,20.6,19.3,15.6,5.2,0.7402729220705988,1
