"","CensusId","DemVotes","RepVotes","ProtVotes","county_lat","county_long","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","Citizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
"1",1001,9847,26288,865,32.532237,-86.64644,"Alabama","Autauga",55221,26745,28476,2.6,75.8,18.5,0.4,1,0,40725,51281,2391,24974,1080,12.9,18.6,33.2,17,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0,7.6
"2",1003,28742,114309,3874,30.659218,-87.746067,"Alabama","Baldwin",195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0,147695,50254,1263,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5
"3",1005,8931,7437,144,31.870253,-85.405104,"Alabama","Barbour",26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0,20714,32964,2973,16824,798,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597,71.8,20.8,7.3,0.1,17.6
"4",1007,3397,10285,207,33.015893,-87.127148,"Alabama","Bibb",22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0,17495,38678,3995,18431,1618,16.8,27.9,21.5,17.9,17.8,19,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294,76.8,16.1,6.7,0.4,8.3
"5",1009,3376,34840,572,33.977358,-86.56644,"Alabama","Blount",57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0,42345,45813,3141,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82,13.5,4.2,0.4,7.7
"6",1011,6448,1415,40,32.101759,-85.717261,"Alabama","Bullock",10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0,8057,31938,5884,17580,2055,24.6,38.4,18.8,15,19.7,20.1,26.4,74.9,14.9,0.7,5,1.7,2.8,27.5,3865,79.5,15.1,5.4,0,18
"7",1013,6598,6712,105,31.751667,-86.681969,"Alabama","Butler",20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0,15581,32229,1793,18390,714,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0,0.8,0.6,1.7,24.6,7813,77.4,16.2,6.2,0.2,10.9
"8",1015,22033,49648,1757,33.771706,-85.822513,"Alabama","Calhoun",116648,56274,60374,3.5,73,20.3,0.2,0.9,0,88612,41703,925,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5,0.1,12.3
"9",1017,10489,11482,273,32.915504,-85.394032,"Alabama","Chambers",34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0,26462,34177,2949,21071,1366,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689,85.1,12.1,2.8,0,8.9
"10",1019,2403,12345,233,34.069515,-85.654242,"Alabama","Cherokee",26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0,20600,36296,1710,21811,1556,19.2,30.1,29.3,16,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155,73.1,18.5,7.9,0.5,7.9
"11",1021,4418,21276,377,32.854051,-86.726607,"Alabama","Chilton",43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0,31728,41627,2025,21399,1446,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,1.9,32,17895,80.3,15.2,4.1,0.5,9.1
"12",1023,5661,5532,77,31.990954,-88.248889,"Alabama","Choctaw",13395,6382,7013,0.4,55.9,42.9,0,0,0,10568,33536,2231,20755,1380,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,1.4,0.8,30.7,4405,77.5,16.8,5.4,0.3,13.6
"13",1025,10427,10564,142,31.685521,-87.818624,"Alabama","Clarke",25070,11834,13236,0.3,53.4,45.3,0,0.4,0.4,19258,32011,3088,20064,1469,24.7,29.8,21.1,15,25.5,11.6,26.9,82,12.8,0.2,1.3,2.6,1.1,23,8161,83.1,13.6,3.3,0,19.4
"14",1027,2024,6985,142,33.2704,-85.863525,"Alabama","Clay",13537,6671,6866,3.2,79.9,14.4,0.7,0,0,10312,35327,4517,18905,1067,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,0.9,2.1,30.3,5180,77.5,14.7,7.8,0,9.4
"15",1029,1050,8610,145,33.671964,-85.516126,"Alabama","Cleburne",15002,7334,7668,2.3,92.5,2.9,0.2,0.4,0,11367,38056,3883,20151,1357,17,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,1,3.4,33.3,6065,76.3,15.3,8.4,0,8.3
"16",1031,7103,21979,671,31.402258,-85.989602,"Alabama","Coffee",50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0,37575,46729,2066,24936,854,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1,1.3,2.8,20.9,20912,70.3,23.5,5.7,0.5,7.1
"17",1033,12769,23544,857,34.703112,-87.801457,"Alabama","Colbert",54444,26303,28141,2.4,78.9,15.6,0.6,0.3,0.1,42075,40576,2536,22546,917,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6,0.2,0.9,0.7,1.5,22.8,21290,78.6,16.1,5.2,0,9
"18",1035,5788,4681,85,31.430926,-86.988722,"Alabama","Conecuh",12865,6176,6689,1.6,51,44.7,0.3,0,0,9930,24900,3001,15968,1369,33.8,41.5,19.4,21,20.4,11.4,27.9,93.6,4.3,0,0.6,0.3,1.3,29.7,3718,77.8,13,8.3,0.8,22.6
"19",1037,3071,5057,89,32.931445,-86.243482,"Alabama","Coosa",11027,5579,5448,2.1,65.2,30.7,0.1,0,0,8803,31212,2971,17519,961,19.3,27.5,18,19.8,21.9,12.7,27.6,85.4,10.1,0.5,0.9,1,2.1,28.6,3852,76.6,17.5,5.9,0,17
"20",1039,4094,18858,286,31.243987,-86.448721,"Alabama","Covington",37886,18339,19547,1.5,83.3,13,0.5,0.3,0.1,29358,36444,1673,20977,723,20.2,31.2,26.2,15.6,23.6,15.2,19.4,83,11.2,0.2,1.5,1.9,2.2,25.5,14202,77.1,15.8,6.7,0.4,11.2
"21",1041,2991,6103,90,31.732826,-86.319222,"Alabama","Crenshaw",13938,6863,7075,1.7,70.5,23.5,0.8,1.8,0,10591,36022,3041,20585,1229,16.7,19.2,27.6,11.6,23.8,12.5,24.6,81.7,11.6,0,1.3,0.8,4.6,27.9,5620,74.1,17.8,7.9,0.3,9.7
"22",1043,5937,49693,1086,34.131923,-86.869267,"Alabama","Cullman",80965,40081,40884,4.3,92.2,1.1,0.4,0.6,0,61222,38971,1526,20881,727,18.5,25,28.5,15.6,23.9,13.9,18.1,84.9,10,0.1,1.5,1,2.6,26.4,32282,81.6,12.2,5.8,0.4,7.3
"23",1045,7471,19218,528,31.430654,-85.609476,"Alabama","Dale",49866,24708,25158,6,69.8,19.4,0.5,1.2,0,37331,45028,2413,22566,911,19.1,26.2,27.1,17.2,24.8,14.8,16.2,87.4,6.6,0.1,1.6,1.7,2.6,20.4,18735,73.1,20.9,5.9,0.1,10.9
"24",1047,23351,7825,167,32.33354,-87.114356,"Alabama","Dallas",42154,19450,22704,0.3,28.6,69.2,0.2,0.3,0,31231,27306,2075,17808,788,35,53.8,26.5,19.5,19.3,10.1,24.5,82.3,11.4,0.3,2.2,1.6,2.2,23.9,14094,76.6,16.7,6.2,0.4,16.4
"25",1049,5884,31582,817,34.460929,-85.803992,"Alabama","DeKalb",71068,35474,35594,14,80.9,1.8,1.1,0.3,0.1,49341,38192,1360,18411,588,18.7,25.2,24.2,15.7,21.3,12.4,26.4,86.1,10.4,0,0.6,0.9,2.1,22.8,27778,78.8,12.6,8.5,0.1,7.7
"26",1051,13091,38190,1183,32.597229,-86.142735,"Alabama","Elmore",80763,39362,41401,2.8,73.6,21,0.2,0.5,0,61172,53555,1980,24381,941,13.6,20.5,33.3,16,25.2,9.6,15.9,87.1,9,0.1,0.4,1.2,2.2,28.5,33636,70.4,24.1,5.5,0,8.3
"27",1053,8394,14433,317,31.122287,-87.16841,"Alabama","Escambia",37935,19524,18411,1.2,60.7,33.4,3.2,0.1,0,29399,32330,2209,17045,848,24.2,31.8,25.4,21.8,23.1,11,18.7,90.8,6,0.4,1.2,0.5,1.1,23.1,12294,74.5,19,6.4,0.1,15.6
"28",1055,17993,47883,1369,34.047641,-86.034263,"Alabama","Etowah",103766,50207,53559,3.6,78.5,15.4,0.3,0.7,0.1,78881,39220,1976,20500,518,19.7,31.7,28.7,18.5,21.3,9.8,21.7,86.2,8.7,0.3,0.4,0.5,3.8,23.4,41236,79.8,14.4,5.6,0.2,9
"29",1057,2268,9677,175,33.716157,-87.764292,"Alabama","Fayette",16896,8477,8419,0.7,85.3,12,0,0.4,0,13188,34680,2112,19545,1183,18.3,25.6,27,14.6,21.6,12.7,24.1,86.5,11.1,0,0.3,0.2,1.9,28.4,6122,81.9,14.2,3.8,0.1,10
"30",1059,3420,12180,377,34.441989,-87.842814,"Alabama","Franklin",31634,15311,16323,15.7,78.5,4.1,0.7,0.1,0.1,22124,35372,2437,18595,975,22.5,38.8,21.4,13.6,19.4,12.8,32.8,80.3,13.2,0.2,0.2,4.7,1.4,29,12249,78.5,14.6,6.9,0,9.8
"31",1061,2530,13426,239,31.092382,-85.821022,"Alabama","Geneva",26815,13174,13641,3.6,84,8.7,0.3,1.2,0,20334,36024,2022,20224,1298,23.2,40.2,23.9,17.8,22.5,19.9,16,81.8,12,0,0.9,1.8,3.4,25.8,10419,75.7,15,8.8,0.4,11.2
"32",1063,7555,1209,29,32.844497,-87.9642,"Alabama","Greene",8697,4095,4602,0.7,17.8,80.6,0.1,0.2,0,6669,20541,2413,13611,1741,40.2,67,20.1,22.3,26,9.5,22.1,82.1,9.3,0.8,3.4,2.1,2.3,30.5,2412,75.8,17.2,7,0,20.4
"33",1065,8983,4556,92,32.752796,-87.623061,"Alabama","Hale",15256,7183,8073,1.1,40,58.2,0.3,0.3,0.1,11612,32714,2373,18877,1217,26.8,38.9,25.5,16.7,24.4,12.2,21.3,88.2,8.8,0,0.3,1.5,1.2,29.8,5282,76.3,17.6,5.8,0.3,13.3
"34",1067,4065,7625,148,31.516978,-85.239971,"Alabama","Henry",17252,8259,8993,2.5,68.3,28.4,0,0,0,13357,41997,3220,22931,1429,15.6,20.6,33.5,17.1,18.5,10.9,20,85.6,8.6,0.1,1,2.6,2.2,26.9,6922,78.9,15.5,5.4,0.2,8.1
"35",1069,18125,41339,1247,31.158183,-85.296411,"Alabama","Houston",103534,49563,53971,3.2,67.7,26.2,0.3,0.8,0,77666,41571,863,23925,460,18.3,29.9,31.1,18.5,26.1,10.3,14.1,88.6,7,0.3,0.7,1.3,2.1,21.4,44067,81.3,13,5.5,0.2,8.3
"36",1071,5723,23121,633,34.764114,-85.980056,"Alabama","Jackson",52860,26076,26784,2.7,89.4,3.1,1.1,0.4,0.1,40758,37745,1399,20066,779,18,25.9,25.3,14.1,21.1,13,26.6,88.1,7.4,0.1,1.3,0.7,2.4,25.4,20883,75.1,17.1,7.7,0,10.1
"37",1073,271925,216282,12479,33.553444,-86.896536,"Alabama","Jefferson",659026,311581,347445,3.8,51,42.2,0.2,1.6,0,490208,45610,910,27240,404,18.8,27.8,38.7,17,25.2,7.4,11.6,84.9,9.3,0.9,1.3,1,2.5,23.6,293202,80.9,14.4,4.6,0.2,9.1
"38",1075,1768,8446,107,33.787085,-88.087431,"Alabama","Lamar",14133,6832,7301,1.4,86,11.1,0.3,0,0,11003,35450,2018,20130,2359,24.1,37.2,25.9,14.1,20.6,14.7,24.7,81.8,15.6,0.1,0.5,0.9,1.1,26.2,5391,79.6,15.5,3.9,0.9,10.2
"39",1077,15509,39059,1674,34.904122,-87.650997,"Alabama","Lauderdale",92737,44419,48318,2.4,84.9,9.9,0.4,0.7,0,72671,43125,1602,24215,786,17.9,25.7,29.5,19,24.7,11,15.8,86,9,0.2,1.6,1,2.2,24.6,39734,77.3,16.7,5.8,0.2,7.1
"40",1079,6107,15516,368,34.529776,-87.321865,"Alabama","Lawrence",33586,16421,17165,2.1,76.5,11.4,5.4,0.1,0,26020,40003,2651,21369,1033,18.7,24.6,25.1,14.8,18.3,15.3,26.5,87.9,8.9,0.1,0.6,0.6,1.9,28.4,12704,80.3,13.3,5.9,0.4,9.8
"41",1081,35482,54231,3344,32.604064,-85.353048,"Alabama","Lee",150982,74277,76705,3.7,68.2,23,0.1,3.3,0,112580,44570,2152,24356,772,23.8,24,39.7,16.1,22.9,8.3,13,84.6,8,1,2.2,1,3.1,21.7,68614,75.5,20.3,4.1,0.1,7.3
"42",1083,14541,40876,1759,34.810239,-86.981399,"Alabama","Limestone",88805,44626,44179,5.8,77.4,12.8,0.5,1.2,0,66086,49570,1409,25569,1111,14.3,18.5,34.2,15.2,22.3,12.4,16,87.4,8.9,0.3,0.6,0.6,2.1,26.3,37664,77.9,16.4,5.5,0.2,7.8
"43",1085,8748,2466,50,32.147888,-86.650586,"Alabama","Lowndes",10742,5125,5617,0.3,25.3,74.1,0,0,0,8222,25876,2478,18429,2698,28.5,39.9,23.9,16.2,19.4,9.2,31.4,82,13.8,0.3,0.8,0.3,2.7,29.5,3471,73.9,20.5,4.2,1.5,13.2
"44",1087,13501,1984,143,32.387027,-85.692887,"Alabama","Macon",20018,9166,10852,1.6,16.1,80.9,0.3,0.2,0,16193,30738,2093,17374,698,25.9,37.9,26.7,23.1,22.6,9.1,18.6,77.6,13,0.5,5.7,1.4,1.7,21.8,7585,75.7,20.3,3.8,0.2,16.9
"45",1089,99748,132859,11047,34.764238,-86.55108,"Alabama","Madison",346438,169422,177016,4.7,65.6,23.9,0.6,2.5,0.1,258791,57993,1443,32131,601,13.7,19.4,44.6,15.6,23.2,6.7,9.9,86.9,7.1,0.3,1.2,1.5,3,20.8,163753,75.6,19.5,4.7,0.2,8.5
"46",1091,9935,7062,146,32.247591,-87.791091,"Alabama","Marengo",20306,9452,10854,2.3,45.8,51.3,0.1,0.1,0,15431,32042,2576,21471,1907,26.1,35.5,28.4,18.2,20.7,12.5,20.2,85.5,9.4,0.4,0.8,0.9,3,22.1,6860,72.6,18.8,7.9,0.7,11.4
"47",1093,2271,16111,278,34.138219,-87.881551,"Alabama","Marion",30387,15004,15383,2.4,91.8,3.7,0.2,0.3,0,23914,32299,2084,20042,1069,20.1,25.7,26.2,18.1,23,10.5,22.2,84.9,9.7,0.2,0.9,1.5,2.8,23.9,11560,75,16.5,8,0.5,9.9
"48",1095,7548,43060,1166,34.309564,-86.321668,"Alabama","Marshall",94318,46409,47909,12.7,82.7,1.9,0.4,0.5,0,65369,38983,1262,21363,676,20.2,32.9,28.1,14.6,22.7,13.4,21.1,82,12.9,0.2,1,0.8,3.1,23.6,38140,78,14.8,7.1,0.1,8.4
"49",1097,125215,150672,4009,30.684572,-88.196568,"Alabama","Mobile",414251,198216,216035,2.6,58.1,35,0.6,1.9,0,307788,43809,999,22953,363,19.3,28.1,32.4,17.4,26.2,9.7,14.3,85.9,8.2,0.5,0.9,0.8,3.7,24.4,170900,81.4,13.8,4.6,0.1,9.8
"50",1099,8018,8513,144,31.580332,-87.383266,"Alabama","Monroe",22217,10639,11578,1.1,54.8,41.8,1.3,0.3,0,16842,27257,3360,15863,927,31.4,40.2,22.9,20.5,21,13.4,22.3,89.5,6.8,0.2,1,0.7,1.7,24.3,6551,77.3,18.4,4.1,0.2,20.7
"51",1101,101891,48695,2959,32.202881,-86.204461,"Alabama","Montgomery",228138,108296,119842,3.4,36.9,55.8,0.2,2.2,0,166983,44369,1030,25138,526,22.6,33.4,36,19.1,25.1,6,13.8,84.8,9.5,0.8,1.4,0.7,2.8,19.3,99158,72.6,22.7,4.6,0.1,8.8
"52",1103,18608,56481,1904,34.454484,-86.846402,"Alabama","Morgan",119786,58814,60972,7.8,76.8,12.1,0.5,0.6,0.1,87583,45751,1183,24449,631,16.1,24.3,29.7,15.4,24.3,11.7,18.8,87.8,9.1,0.3,0.6,0.6,1.6,24.1,51472,81.9,12.1,5.9,0.1,9.9
"53",1105,7256,1980,47,32.639005,-87.293827,"Alabama","Perry",10038,4651,5387,0.9,30,68,0,0.4,0,7724,24537,2928,14804,1610,36.4,53.9,26.5,22.8,24.4,5.5,20.8,84.4,8.3,0.2,3.5,2.6,1.1,26.5,2865,76.3,19,4.7,0,11.2
"54",1107,7296,7055,114,33.296793,-88.096863,"Alabama","Pickens",19856,9657,10199,1.6,55.2,42.3,0,0.1,0,15405,30330,2351,17957,1158,25,35.2,19.7,17.2,22.3,13.3,27.4,82.3,11.4,0.5,1.6,0.5,3.6,29.9,6712,77.8,17.9,4.2,0.1,13.8
