"year","state","county","D","O","R","total"
"2000","ALABAMA","AUTAUGA",4942,273,11993,17208
"2000","ALABAMA","BALDWIN",13997,1611,40872,56480
"2000","ALABAMA","BARBOUR",5188,111,5096,10395
"2000","ALABAMA","BIBB",2710,118,4273,7101
"2000","ALABAMA","BLOUNT",4977,329,12667,17973
"2000","ALABAMA","BULLOCK",3395,76,1433,4904
"2000","ALABAMA","BUTLER",3606,70,4127,7803
"2000","ALABAMA","CALHOUN",15781,822,22306,38909
"2000","ALABAMA","CHAMBERS",5616,181,6037,11834
"2000","ALABAMA","CHEROKEE",3497,172,4154,7823
"2000","ALABAMA","CHILTON",4806,220,10066,15092
"2000","ALABAMA","CHOCTAW",3707,67,3600,7374
"2000","ALABAMA","CLARKE",4679,85,5988,10752
"2000","ALABAMA","CLAY",2045,119,3719,5883
"2000","ALABAMA","CLEBURNE",1664,95,3333,5092
"2000","ALABAMA","COFFEE",5220,276,9938,15434
"2000","ALABAMA","COLBERT",10543,471,10518,21532
"2000","ALABAMA","CONECUH",2783,69,2699,5551
"2000","ALABAMA","COOSA",2104,81,2382,4567
"2000","ALABAMA","COVINGTON",4440,212,8961,13613
"2000","ALABAMA","CRENSHAW",1934,68,2793,4795
"2000","ALABAMA","CULLMAN",9758,610,19157,29525
"2000","ALABAMA","DALE",4906,307,10593,15806
"2000","ALABAMA","DALLAS",10967,137,7360,18464
"2000","ALABAMA","DEKALB",7056,402,12827,20285
"2000","ALABAMA","ELMORE",6652,375,16777,23804
"2000","ALABAMA","ESCAMBIA",4523,162,6975,11660
"2000","ALABAMA","ETOWAH",17433,828,21087,39348
"2000","ALABAMA","FAYETTE",3064,162,4582,7808
"2000","ALABAMA","FRANKLIN",4793,191,6119,11103
"2000","ALABAMA","GENEVA",2769,202,6588,9559
"2000","ALABAMA","GREENE",3504,42,850,4396
"2000","ALABAMA","HALE",4652,95,2984,7731
"2000","ALABAMA","HENRY",2782,96,4054,6932
"2000","ALABAMA","HOUSTON",9412,495,22150,32057
"2000","ALABAMA","JACKSON",9066,365,8475,17906
"2000","ALABAMA","JEFFERSON",129889,5383,138491,273763
"2000","ALABAMA","LAMAR",2653,126,4470,7249
"2000","ALABAMA","LAUDERDALE",13875,784,17478,32137
"2000","ALABAMA","LAWRENCE",6296,218,5671,12185
"2000","ALABAMA","LEE",14574,1257,22433,38264
"2000","ALABAMA","LIMESTONE",8992,438,14204,23634
"2000","ALABAMA","LOWNDES",4557,48,1638,6243
"2000","ALABAMA","MACON",7665,75,1091,8831
"2000","ALABAMA","MADISON",48199,2968,62151,113318
"2000","ALABAMA","MARENGO",4841,77,4690,9608
"2000","ALABAMA","MARION",4600,246,6910,11756
"2000","ALABAMA","MARSHALL",10381,524,17084,27989
"2000","ALABAMA","MOBILE",58640,2943,78162,139745
"2000","ALABAMA","MONROE",3741,57,5153,8951
"2000","ALABAMA","MONTGOMERY",40371,1130,38827,80328
"2000","ALABAMA","MORGAN",16060,847,25774,42681
"2000","ALABAMA","PERRY",4020,35,1732,5787
"2000","ALABAMA","PICKENS",4143,91,4306,8540
"2000","ALABAMA","PIKE",4357,129,6058,10544
"2000","ALABAMA","RANDOLPH",3094,159,4666,7919
"2000","ALABAMA","RUSSELL",8396,181,6198,14775
"2000","ALABAMA","SHELBY",13183,1294,47651,62128
"2000","ALABAMA","ST. CLAIR",6485,488,17117,24090
"2000","ALABAMA","SUMTER",4415,44,1629,6088
"2000","ALABAMA","TALLADEGA",11264,380,13807,25451
"2000","ALABAMA","TALLAPOOSA",6183,265,9805,16253
"2000","ALABAMA","TUSCALOOSA",24614,1497,34003,60114
